model_type,cl_method,train_task_id,eval_task_id,eval_phase,metric_name,metric_value,timestamp
forecasting,replay,6,1,seen,mase,0.6227105370329024,2026-06-04T22:28:17
forecasting,replay,6,1,seen,smape,52.18439698219299,2026-06-04T22:28:17
forecasting,replay,6,1,seen,rmse,446.857421875,2026-06-04T22:28:17
forecasting,replay,6,2,seen,mase,7.503473050746737,2026-06-04T22:28:27
forecasting,replay,6,2,seen,smape,73.58670830726624,2026-06-04T22:28:27
forecasting,replay,6,2,seen,rmse,1006.1941528320312,2026-06-04T22:28:27
forecasting,replay,6,3,seen,mase,2.2436310512070907,2026-06-04T22:28:35
forecasting,replay,6,3,seen,smape,86.73517107963562,2026-06-04T22:28:35
forecasting,replay,6,3,seen,rmse,1543.0299072265625,2026-06-04T22:28:35
forecasting,replay,6,4,seen,mase,10.803521030600773,2026-06-04T22:28:45
forecasting,replay,6,4,seen,smape,90.83420038223267,2026-06-04T22:28:45
forecasting,replay,6,4,seen,rmse,828.1671142578125,2026-06-04T22:28:45
forecasting,replay,6,5,seen,mase,1.8000793003043185,2026-06-04T22:28:53
forecasting,replay,6,5,seen,smape,88.62043023109436,2026-06-04T22:28:53
forecasting,replay,6,5,seen,rmse,1189.7249755859375,2026-06-04T22:28:53
forecasting,replay,6,6,seen,mase,8.115296841887965,2026-06-04T22:29:03
forecasting,replay,6,6,seen,smape,91.00354313850403,2026-06-04T22:29:03
forecasting,replay,6,6,seen,rmse,654.3619384765625,2026-06-04T22:29:03
forecasting,sdft,1,1,seen,mase,0.6792937900073428,2026-06-04T22:30:39
forecasting,sdft,1,1,seen,smape,57.92033672332764,2026-06-04T22:30:39
forecasting,sdft,1,1,seen,rmse,353.9913330078125,2026-06-04T22:30:39
forecasting,sdft,1,2,future,mase,6.627855837180403,2026-06-04T22:30:50
forecasting,sdft,1,2,future,smape,95.15889883041382,2026-06-04T22:30:50
forecasting,sdft,1,2,future,rmse,388.1139831542969,2026-06-04T22:30:50
forecasting,sdft,1,3,future,mase,0.9023215201656545,2026-06-04T22:30:57
forecasting,sdft,1,3,future,smape,80.18903732299805,2026-06-04T22:30:57
forecasting,sdft,1,3,future,rmse,467.2455139160156,2026-06-04T22:30:57
forecasting,sdft,1,4,future,mase,6.8436918528722055,2026-06-04T22:31:07
forecasting,sdft,1,4,future,smape,94.63372230529785,2026-06-04T22:31:07
forecasting,sdft,1,4,future,rmse,387.315185546875,2026-06-04T22:31:07
forecasting,sdft,1,5,future,mase,1.0394477769928,2026-06-04T22:31:15
forecasting,sdft,1,5,future,smape,87.5222384929657,2026-06-04T22:31:15
forecasting,sdft,1,5,future,rmse,498.13775634765625,2026-06-04T22:31:15
forecasting,sdft,1,6,future,mase,5.8887496056250805,2026-06-04T22:31:25
forecasting,sdft,1,6,future,smape,94.80646848678589,2026-06-04T22:31:25
forecasting,sdft,1,6,future,rmse,401.4062194824219,2026-06-04T22:31:25
forecasting,sdft,2,1,seen,mase,1.769965109138572,2026-06-04T22:38:14
forecasting,sdft,2,1,seen,smape,82.76786804199219,2026-06-04T22:38:14
forecasting,sdft,2,1,seen,rmse,1151.62939453125,2026-06-04T22:38:14
forecasting,sdft,2,2,seen,mase,13.839616310848843,2026-06-04T22:38:25
forecasting,sdft,2,2,seen,smape,108.28911066055298,2026-06-04T22:38:25
forecasting,sdft,2,2,seen,rmse,1187.3187255859375,2026-06-04T22:38:25
forecasting,sdft,2,3,future,mase,1.7692925149930387,2026-06-04T22:38:32
forecasting,sdft,2,3,future,smape,88.5509192943573,2026-06-04T22:38:32
